Time,Vsa,Isa,Pmax,Psa,Psaold,dP
1,1.920798514,0.628608901,10.87696087,1.207431043,0,1.207431043
2,1.686612536,0.628822429,10.87696087,1.060579791,6.83967695,-5.779097159
3,1.560877094,0.629013224,10.87696087,0.981812334,6.841752229,-5.859939895
4,1.548445897,0.629180274,10.88411271,0.974251613,6.848069016,-5.873817403
5,1.637242919,0.629326108,10.88411271,1.030359714,6.84965629,-5.819296576
6,1.802075618,0.629456005,10.88411271,1.134327319,6.851070103,-5.716742784
7,2.009872504,0.629576894,10.88411271,1.265369288,6.852385876,-5.587016588
8,2.225415589,0.629696157,10.89125991,1.401335643,6.858184506,-5.456848863
9,2.416680686,0.629820504,10.89125991,1.522075048,6.859538808,-5.33746376
10,6.772550864,0.629066857,10.89125991,4.260387288,6.851330644,-2.590943356
11,6.781101114,0.629229461,10.89125991,4.266868602,6.853101608,-2.586233006
12,6.781314233,0.62939385,10.89840244,4.268117473,6.859387471,-2.591269998
13,6.781527335,0.629558238,10.89840244,4.269366403,6.861179043,-2.59181264
14,6.781740435,0.629722625,10.89840244,4.27061539,6.862970596,-2.592355206
15,6.781953534,0.629887014,10.89840244,4.271864458,6.864762168,-2.592897709
16,6.782166632,0.630051401,10.90554028,4.27311359,6.871050932,-2.597937342
17,6.782379728,0.630215789,10.90554028,4.274362791,6.872843668,-2.598480877
18,6.782592824,0.630380177,10.90554028,4.275612061,6.874636404,-2.599024342
19,6.782805918,0.630544564,10.9126715,4.276861401,6.880925697,-2.604064296
20,7.860751841,0.630475241,10.9126715,4.956009411,6.880169196,-1.924159785
21,8.979578631,0.630385491,10.9126715,5.660596088,6.879189788,-1.218593701
22,10.03260008,0.630285243,10.9126715,6.323399776,6.878095807,-0.554696031
23,11.09030698,0.630125545,10.91979798,6.988285727,6.880843652,0.107442075
24,12.1533546,0.629828119,10.91979798,7.654524464,6.877595819,0.776928644
25,13.17453484,0.629256856,10.91979798,8.290166377,6.871357752,1.418808625
26,14.18934153,0.628062528,10.91979798,8.911793714,6.85831593,2.053477785
27,15.20330514,0.625541373,10.92691969,9.510296375,6.835240347,2.675056027
28,16.21497096,0.620387279,10.92691969,10.05956172,6.778921976,3.280639743
29,17.22164252,0.610594554,10.92691969,10.51544114,6.671917658,3.843523487
30,18.21920881,0.594000038,10.92691969,10.82221073,6.490590714,4.331620018
31,19.20300899,0.569450304,10.93403658,10.9351593,6.226390453,4.708768848
32,20.16961526,0.537394584,10.93403658,10.839042,5.87589204,4.963149961
33,19.20348765,0.569631879,10.93403658,10.93891876,6.228375808,4.710542955
34,18.22029545,0.594446057,10.93403658,10.83098279,6.499694931,4.331287856
35,19.20396587,0.569813245,10.94114864,10.94267412,6.234411417,4.708262702
36,20.17042544,0.537685228,10.94114864,10.8453398,5.882894001,4.9624458
37,19.20444381,0.569994409,10.94114864,10.9464256,6.236393554,4.710032045
38,18.22138084,0.594891212,10.94825584,10.83973933,6.513021184,4.326718146
39,19.20366667,0.570212347,10.94825584,10.95016784,6.242830655,4.707337184
40,19.20390031,0.570302923,10.94825584,10.95204048,6.243822309,4.708218172
41,19.20413387,0.57039345,10.94825584,10.95391217,6.244813418,4.70909875
42,19.20436734,0.570483927,10.95540157,10.95578289,6.249880508,4.705902382
