Time,Vsa,Isa,Pmax,Psa,Psaold,dp
1,1.917654886,0.788126371,13.69958419,1.511354386,0,1.511354386
2,1.816918823,0.797584519,13.79020006,1.449146326,10.99885009,-9.549703761
3,1.789538768,0.807027294,13.88022723,1.444206629,11.20172221,-9.757515585
4,1.830485175,0.816455747,13.96962414,1.494510141,11.40557992,-9.911069776
5,1.925491931,0.825872867,14.05844811,1.590211542,11.61049085,-10.02027931
6,2.054243706,0.835282909,14.13866204,1.715874658,11.80978275,-10.0939081
7,2.194045622,0.844690626,14.22621662,1.853289769,12.01675182,-10.16346205
8,2.323387077,0.854100527,14.30528675,1.984406127,12.21815295,-10.23374682
9,2.424898737,0.863516254,14.38366831,2.093939474,12.42053138,-10.32659191
10,7.084547071,0.871961194,14.46918546,6.177450122,12.61656823,-6.439118105
11,7.10656797,0.881391378,14.54633064,6.263667733,12.8210104,-6.557342668
12,7.118678378,0.890823499,14.62279022,6.341485984,13.02632515,-6.684839168
13,7.130784587,0.900255314,14.69854182,6.419526717,13.23244038,-6.812913662
14,7.14288663,0.90968678,14.77366274,6.497789539,13.43940569,-6.941616146
15,7.154984507,0.919117855,14.84066398,6.576274011,13.64031924,-7.064045233
16,7.16707822,0.928548487,14.91436503,6.654979637,13.84871108,-7.193731443
17,7.179167767,0.937978618,14.98011666,6.733905863,14.05102912,-7.317123262
18,7.191253143,0.947408186,15.05237725,6.813052093,14.26074542,-7.447693328
19,7.203334341,0.956837114,15.11681332,6.892417645,14.46432804,-7.571910392
20,8.356385197,0.965937636,15.18058989,8.071746959,14.66350311,-6.591756146
21,9.533434605,0.974840653,15.25072862,9.293579612,14.86703024,-5.573450628
22,10.62754301,0.983280287,15.31317543,10.44985355,15.05714354,-4.607289995
23,11.73005051,0.990377655,15.37496503,11.61717992,15.22702182,-3.609841901
24,12.84161412,0.994050328,15.43608502,12.76521073,15.34424538,-2.579034651
25,13.88548375,0.991365575,15.49652377,13.76559057,15.36272019,-1.597129621
26,14.90952065,0.978651336,15.54967764,14.59122231,15.21771279,-0.626490487
27,15.9184465,0.954488113,15.60880013,15.19396797,14.89841419,0.295553775
28,16.90775021,0.920540597,15.66726699,15.56427046,14.4223553,1.141915161
29,17.87622232,0.87954944,15.71863447,15.72302132,13.82531614,1.897705183
30,18.82558691,0.833800232,15.77572804,15.69677874,13.15380571,2.542973031
31,17.89313099,0.884664303,15.8259341,15.82941425,14.00063896,1.828775291
32,16.94891103,0.933240774,15.87562112,15.81741484,14.81577693,1.001637906
33,17.90912295,0.889485349,15.93077374,15.92990248,14.17018985,1.759712636
34,18.85178198,0.841825809,15.97922602,15.86991662,13.45172487,2.418191745
35,17.92425104,0.894038521,16.02710562,16.02497089,14.32884981,1.69612108
36,16.98588618,0.944386162,16.07440561,16.04123586,15.18044622,0.860789638
37,16.03551327,0.992190017,16.12120762,15.91027619,15.99530127,-0.085025081
38,17.0029094,0.949462336,16.16742791,16.14362208,15.35036388,0.793258205
39,17.93644485,0.90328119,16.21305429,16.20165326,14.64494697,1.556706283
40,17.9427881,0.905261199,16.25809077,16.24290988,14.71781875,1.525091128
41,17.94896318,0.907191676,16.30262714,16.28315,14.78960764,1.493542357
42,17.95497556,0.909074654,16.34110636,16.32241319,14.85528561,1.467127583
43,17.96083073,0.910912036,16.3845447,16.36073688,14.92487896,1.435857916
44,17.966534,0.912705627,16.42216578,16.39815668,14.98860311,1.409553568
45,17.97209058,0.914457139,16.4645489,16.43470654,15.05612429,1.37858225
46,17.97750548,0.916168187,16.50123377,16.47041859,15.11790542,1.352513167
47,17.98278356,0.917840303,16.54261577,16.50532352,15.18347948,1.321844039
48,17.98792955,0.919474939,16.57836834,16.53945042,15.24339421,1.296056209
49,17.99294799,0.921073479,16.61878594,16.5728272,15.30712298,1.26570422
50,17.99784327,0.922637231,16.6536308,16.60548027,15.3652598,1.240220467
51,18.00261963,0.924167438,16.68816228,16.63743486,15.42265617,1.214778686
52,18.00728117,0.925665272,16.72221014,16.66871483,15.47916921,1.189545621
53,18.01183181,0.927131868,16.75595064,16.69934328,15.53497582,1.164367457
54,18.01627535,0.92856828,16.78921641,16.72934181,15.5899338,1.139408009
