Time,Vsa,Isa,Pmax,Psa,Psaold,Dp
1,2.782120415,0.244441217,5.768656541,0.6800649,0,0.6800649
2,2.64080583,0.244579207,5.768656541,0.645886196,0.157970334,0.487915862
3,2.458992094,0.244725682,5.768656541,0.601778517,0.147270658,0.454507859
4,2.267846763,0.244874112,5.776287579,0.555336962,0.135987645,0.419349317
5,2.096070062,0.245018483,5.776287579,0.513575907,0.12583559,0.387740317
6,1.966058812,0.245154106,5.776287579,0.48198739,0.118161188,0.363826203
7,1.891448428,0.24527812,5.783921806,0.463930914,0.113792103,0.350138812
8,1.876218793,0.245389695,5.783921806,0.460404757,0.112978583,0.347426174
9,1.915301616,0.24548989,5.783921806,0.470187183,0.1154262,0.354760983
10,6.177595134,0.244705294,5.791559203,1.511690233,0.369918603,1.14177163
11,6.288318976,0.24479048,5.791559203,1.539320621,0.376811034,1.162509587
12,6.278562698,0.244900908,5.791559203,1.537625706,0.376565931,1.161059774
13,6.278959594,0.245009208,5.799199748,1.538402917,0.37692288,1.161480037
14,6.279195561,0.245117542,5.799199748,1.539140982,0.377270454,1.161870527
15,6.279318651,0.2452259,5.799199748,1.539851568,0.377611487,1.162240081
16,6.279463549,0.245334253,5.799199748,1.540567499,0.377953977,1.162613522
17,6.279606226,0.245442608,5.806843419,1.541282929,0.378296502,1.162986427
18,6.279748986,0.245550961,5.806843419,1.541998398,0.378639189,1.16335921
19,6.279891762,0.245659314,5.806843419,1.542713902,0.378982039,1.163731863
20,7.289359573,0.245556207,5.814492573,1.789947488,0.439532716,1.350414772
21,7.974974062,0.245520949,5.814492573,1.9580232,0.480735714,1.477287486
22,9.652529596,0.245277864,5.814492573,2.367551842,0.580708059,1.786843783
23,10.39472957,0.245230741,5.822144808,2.549107235,0.625119456,1.923987779
24,11.36356855,0.245136114,5.822144808,2.785621036,0.682856316,2.10276472
25,12.52409573,0.24500126,5.822144808,3.068419234,0.751766579,2.316652656
26,13.72047968,0.2448587,5.829800103,3.359578818,0.822622102,2.536956716
27,14.53823157,0.244795274,5.829800103,3.558890381,0.871199546,2.687690835
28,15.49968418,0.244700955,5.829800103,3.792787521,0.928098729,2.864688793
29,16.47962583,0.24460094,5.837458437,4.030931969,0.985969749,3.04496222
30,17.47776741,0.244492576,5.837458437,4.273184377,1.044761856,3.228422521
31,18.4833505,0.244371435,5.837458437,4.516802885,1.103777603,3.413025283
32,19.4909508,0.244222303,5.837458437,4.760124892,1.162528664,3.597596228
33,20.4989693,0.244005381,5.845122159,5.001858814,1.220480466,3.781378348
34,21.50701294,0.243622868,5.845122159,5.239600175,1.276486422,3.963113753
35,22.51472108,0.242839572,5.845122159,5.467465231,1.327716917,4.139748314
36,23.51396291,0.24112931,5.852788874,5.669905652,1.367180438,4.302725214
37,24.5072798,0.237369782,5.852788874,5.817287664,1.380848305,4.436439359
38,24.7472734,0.236017396,5.852788874,5.840787026,1.378527344,4.462259682
39,27.37599235,0.193928539,5.860458559,5.3089862,1.029563937,4.279422263
40,26.03055684,0.222755293,5.860458559,5.798444316,1.291634163,4.506810153
41,26.86086953,0.207117893,5.860458559,5.563366701,1.152272789,4.411093912
42,26.06986263,0.222320352,5.86814796,5.795861036,1.288537866,4.507323171
43,26.82524252,0.20807185,5.86814796,5.581577838,1.161369227,4.420208611
44,25.48806319,0.230173558,5.86814796,5.866678191,1.350354193,4.516323998
45,26.49933821,0.215061846,5.86814796,5.698996593,1.225636728,4.473359866
46,27.37947045,0.194283494,5.875849898,5.319379183,1.033467574,4.285911609
47,26.02958915,0.223361976,5.875849898,5.814020467,1.2986311,4.515389367
48,26.86446084,0.207542417,5.875849898,5.575515134,1.157155887,4.418359247
49,26.0703831,0.222900116,5.883554866,5.811091417,1.295292951,4.515798466
50,26.82519765,0.208583366,5.883554866,5.595290019,1.167084426,4.428205593
51,25.48829798,0.23080915,5.883554866,5.882932392,1.357834625,4.525097767
