Time,vsa,Isa,Vpmax
1,2.277704153,0.244546896,5.768656541
2,9.175972183,0.243210039,5.768656541
3,9.930393964,0.243160359,5.768656541
4,9.9926133,0.243255707,5.776287579
5,9.99929929,0.243362688,5.776287579
6,19.92664684,0.241280144,5.776287579
7,30.30691312,0.0761356453,5.783921806
8,19.98727893,0.241477707,5.783921806
9,10.19908551,0.243754362,5.783921806
10,19.93845875,0.241709387,5.791559203
11,19.99751348,0.241799121,5.791559203
12,19.99991457,0.24190658,5.791559203
13,20.00001213,0.242014757,5.799199748
14,20.0000161,0.242122972,5.799199748
15,20.00001626,0.242231177,5.799199748
16,20.00001627,0.242339393,5.799199748
17,20.00001627,0.242447602,5.806843419
18,20.00001627,0.242555814,5.806843419
19,20.00001627,0.242664019,5.806843419
20,29.63110023,0.108618572,5.814492573
21,20.02382114,0.242872854,5.814492573
22,10.19527729,0.245164147,5.814492573
23,19.93780216,0.243116446,5.822144808
24,30.0142741,0.0908667488,5.822144808
25,20.03807496,0.243301095,5.822144808
26,10.19620581,0.245597489,5.829800103
27,19.93776407,0.243549337,5.829800103
28,30.01408034,0.0910092588,5.829800103
29,20.03806621,0.243733908,5.837458437
30,10.19631211,0.246031,5.837458437
31,19.93767388,0.243982232,5.837458437
32,30.01388537,0.0911516373,5.837458437
33,20.03805743,0.244166714,5.845122159
34,10.19641471,0.246464513,5.845122159
35,19.93758384,0.244415123,5.845122159
36,30.01369136,0.0912937708,5.852788874
37,20.03804869,0.244599519,5.852788874
38,10.19651367,0.246898026,5.852788874
39,19.94051439,0.244847062,5.860458559
40,19.99759532,0.244937155,5.860458559
41,19.99991783,0.24504461,5.860458559
42,20.00001227,0.245152791,5.86814796
43,20.00001612,0.245260992,5.86814796
44,20.00001627,0.245369201,5.86814796
45,20.00001628,0.245477398,5.86814796
46,20.00001628,0.245585603,5.875849898
47,20.00001628,0.245693805,5.875849898
48,20.00001628,0.245802013,5.875849898
49,20.00001628,0.245910215,5.883554866
50,20.00001628,0.246018416,5.883554866
51,20.00001628,0.246126618,5.883554866
52,20.00001628,0.246234819,5.891262843
53,20.00001628,0.246343021,5.891262843
54,20.00001628,0.246451222,5.891262843
55,20.00001628,0.246559424,5.898973806
56,20.00001628,0.246667625,5.898973806
57,20.00001628,0.246775826,5.898973806
58,20.00001629,0.246884028,5.898973806
59,20.00001629,0.246992222,5.906690102
60,20.00001629,0.247100427,5.906690102
61,19.99994429,0.246736874,5.906690102
62,19.99994518,0.246372828,5.899207326
63,19.99994522,0.246008778,5.89164453
64,19.99994522,0.245644724,5.884086359
65,19.99994523,0.24528067,5.876532832
66,19.99994523,0.244916613,5.868983967
67,19.99994524,0.244552549,5.861439784
68,19.99994524,0.244188488,5.853907409
69,19.99994525,0.24382442,5.838883647
70,19.99994525,0.243460356,5.831378727
71,19.99994526,0.243096288,5.823870407
72,19.99994526,0.242732213,5.816366763
73,19.99994527,0.242368138,5.808867816
74,19.99994528,0.242004063,5.801373583
75,19.99994528,0.241639981,5.793884083
76,19.99994529,0.241275899,5.786399335
77,20.16303602,0.240859059,5.778919357
78,29.9724956,0.0917636491,5.771444168
79,20.036599,0.240172049,5.763973785
80,10.1950144,0.241990929,5.756508228
81,19.9384633,0.239474556,5.749047514
82,30.01425523,0.0892686352,5.734140688
83,20.03803902,0.23871528,5.726686499
84,10.19401935,0.240532673,5.719237219
85,19.938785,0.23801795,5.711792866
86,30.01463495,0.0887362432,5.704364066
87,20.03805817,0.237258931,5.696949042
88,10.19276479,0.239074469,5.689538892
89,19.93910584,0.236561309,5.682133635
90,30.01501563,0.0882017162,5.674733288
91,20.03807747,0.235802542,5.667337871
92,10.19136255,0.237616298,5.652561892
93,19.93943098,0.235104636,5.645181367
94,30.01539916,0.0876649544,5.637797708
95,20.03809697,0.234346118,5.630419059
96,10.19218158,0.236157661,5.623045438
97,19.93974937,0.233647931,5.615676862
98,30.01578827,0.0871258159,5.608313348
99,20.03811678,0.232889654,5.600954915
100,10.19049274,0.234699549,5.593601579
101,19.94005112,0.232191201,5.586253357
102,30.01620578,0.086583217,5.571572326
103,20.03813694,0.231433159,5.564231383
104,10.18940051,0.233241314,5.556895616
105,19.94037189,0.230734432,5.549583301
106,30.01657621,0.0860406928,5.542276174
107,20.03815343,0.229976624,5.534974173
108,10.18816246,0.23178311,5.527677316
